year,state,state_po,county_name,county_fips,blue votes,red votes,other votes,winner
2000,ALABAMA,AL,AUTAUGA,1001,4942,11993,273,Republican
2000,ALABAMA,AL,BALDWIN,1003,13997,40872,1611,Republican
2000,ALABAMA,AL,BARBOUR,1005,5188,5096,111,Democrat
2000,ALABAMA,AL,BIBB,1007,2710,4273,118,Republican
2000,ALABAMA,AL,BLOUNT,1009,4977,12667,329,Republican
2000,ALABAMA,AL,BULLOCK,1011,3395,1433,76,Democrat
2000,ALABAMA,AL,BUTLER,1013,3606,4127,70,Republican
2000,ALABAMA,AL,CALHOUN,1015,15781,22306,822,Republican
2000,ALABAMA,AL,CHAMBERS,1017,5616,6037,181,Republican
2000,ALABAMA,AL,CHEROKEE,1019,3497,4154,172,Republican
2000,ALABAMA,AL,CHILTON,1021,4806,10066,220,Republican
2000,ALABAMA,AL,CHOCTAW,1023,3707,3600,67,Democrat
2000,ALABAMA,AL,CLARKE,1025,4679,5988,85,Republican
2000,ALABAMA,AL,CLAY,1027,2045,3719,119,Republican
2000,ALABAMA,AL,CLEBURNE,1029,1664,3333,95,Republican
2000,ALABAMA,AL,COFFEE,1031,5220,9938,276,Republican
2000,ALABAMA,AL,COLBERT,1033,10543,10518,471,Democrat
2000,ALABAMA,AL,CONECUH,1035,2783,2699,69,Democrat
2000,ALABAMA,AL,COOSA,1037,2104,2382,81,Republican
2000,ALABAMA,AL,COVINGTON,1039,4440,8961,212,Republican
2000,ALABAMA,AL,CRENSHAW,1041,1934,2793,68,Republican
2000,ALABAMA,AL,CULLMAN,1043,9758,19157,610,Republican
2000,ALABAMA,AL,DALE,1045,4906,10593,307,Republican
2000,ALABAMA,AL,DALLAS,1047,10967,7360,137,Democrat
2000,ALABAMA,AL,DEKALB,1049,7056,12827,402,Republican
2000,ALABAMA,AL,ELMORE,1051,6652,16777,375,Republican
2000,ALABAMA,AL,ESCAMBIA,1053,4523,6975,162,Republican
2000,ALABAMA,AL,ETOWAH,1055,17433,21087,828,Republican
2000,ALABAMA,AL,FAYETTE,1057,3064,4582,162,Republican
2000,ALABAMA,AL,FRANKLIN,1059,4793,6119,191,Republican
2000,ALABAMA,AL,GENEVA,1061,2769,6588,202,Republican
2000,ALABAMA,AL,GREENE,1063,3504,850,42,Democrat
2000,ALABAMA,AL,HALE,1065,4652,2984,95,Democrat
2000,ALABAMA,AL,HENRY,1067,2782,4054,96,Republican
2000,ALABAMA,AL,HOUSTON,1069,9412,22150,495,Republican
2000,ALABAMA,AL,JACKSON,1071,9066,8475,365,Democrat
2000,ALABAMA,AL,JEFFERSON,1073,129889,138491,5383,Republican
2000,ALABAMA,AL,LAMAR,1075,2653,4470,126,Republican
2000,ALABAMA,AL,LAUDERDALE,1077,13875,17478,784,Republican
2000,ALABAMA,AL,LAWRENCE,1079,6296,5671,218,Democrat
2000,ALABAMA,AL,LEE,1081,14574,22433,1257,Republican
2000,ALABAMA,AL,LIMESTONE,1083,8992,14204,438,Republican
2000,ALABAMA,AL,LOWNDES,1085,4557,1638,48,Democrat
2000,ALABAMA,AL,MACON,1087,7665,1091,75,Democrat
2000,ALABAMA,AL,MADISON,1089,48199,62151,2968,Republican
2000,ALABAMA,AL,MARENGO,1091,4841,4690,77,Democrat
2000,ALABAMA,AL,MARION,1093,4600,6910,246,Republican
2000,ALABAMA,AL,MARSHALL,1095,10381,17084,524,Republican
2000,ALABAMA,AL,MOBILE,1097,58640,78162,2943,Republican
2000,ALABAMA,AL,MONROE,1099,3741,5153,57,Republican
2000,ALABAMA,AL,MONTGOMERY,1101,40371,38827,1130,Democrat
2000,ALABAMA,AL,MORGAN,1103,16060,25774,847,Republican
2000,ALABAMA,AL,PERRY,1105,4020,1732,35,Democrat
2000,ALABAMA,AL,PICKENS,1107,4143,4306,91,Republican
2000,ALABAMA,AL,PIKE,1109,4357,6058,129,Republican
2000,ALABAMA,AL,RANDOLPH,1111,3094,4666,159,Republican
2000,ALABAMA,AL,RUSSELL,1113,8396,6198,181,Democrat
2000,ALABAMA,AL,SHELBY,1117,13183,47651,1294,Republican
2000,ALABAMA,AL,ST. CLAIR,1115,6485,17117,488,Republican
2000,ALABAMA,AL,SUMTER,1119,4415,1629,44,Democrat
2000,ALABAMA,AL,TALLADEGA,1121,11264,13807,380,Republican
2000,ALABAMA,AL,TALLAPOOSA,1123,6183,9805,265,Republican
2000,ALABAMA,AL,TUSCALOOSA,1125,24614,34003,1497,Republican
2000,ALABAMA,AL,WALKER,1127,11621,13486,534,Republican
2000,ALABAMA,AL,WASHINGTON,1129,3386,4117,93,Republican
2000,ALABAMA,AL,WILCOX,1131,3444,1661,21,Democrat
2000,ALABAMA,AL,WINSTON,1133,2692,6413,213,Republican
2000,ALASKA,AK,DISTRICT 1,2001,1284,4681,691,Republican
2000,ALASKA,AK,DISTRICT 10,2010,2194,5673,1017,Republican
2000,ALASKA,AK,DISTRICT 11,2011,2043,3960,977,Republican
2000,ALASKA,AK,DISTRICT 12,2012,2051,4626,924,Republican
2000,ALASKA,AK,DISTRICT 13,2013,2661,3853,1429,Republican
2000,ALASKA,AK,DISTRICT 14,2014,1626,3750,492,Republican
2000,ALASKA,AK,DISTRICT 15,2015,2106,2453,1311,Republican
2000,ALASKA,AK,DISTRICT 16,2016,1969,1980,736,Republican
2000,ALASKA,AK,DISTRICT 17,2017,2230,4564,910,Republican
2000,ALASKA,AK,DISTRICT 18,2018,2739,5421,1722,Republican
2000,ALASKA,AK,DISTRICT 19,2019,2350,4619,982,Republican
