year,state_po,city,blue votes,red votes,other votes,winner
2000,AK,Adak,1969,1980,736,Republican
2000,AK,Akutan,2661,3853,1429,Republican
2000,AK,Anchorage,2259,3648,1056,Republican
2000,AK,Atka,1969,1980,736,Republican
2000,AK,Attu Station,1969,1980,736,Republican
2000,AK,Cold Bay,2661,3853,1429,Republican
2000,AK,False Pass,2661,3853,1429,Republican
2000,AK,King Cove,2661,3853,1429,Republican
2000,AK,Nelson Lagoon,2661,3853,1429,Republican
2000,AK,Nikolski,1969,1980,736,Republican
2000,AK,Sand Point,2661,3853,1429,Republican
2000,AK,St. George,1969,1980,736,Republican
2000,AK,St. Paul,1969,1980,736,Republican
2000,AK,Unalaska,1969,1980,736,Republican
2000,AL,Abanda,5616,6037,181,Republican
2000,AL,Abbeville,2782,4054,96,Republican
2000,AL,Adamsville,129889,138491,5383,Republican
2000,AL,Addison,2692,6413,213,Republican
2000,AL,Akron,4652,2984,95,Democrat
2000,AL,Alabaster,13183,47651,1294,Republican
2000,AL,Albertville,10381,17084,524,Republican
2000,AL,Alexander City,6183,9805,265,Republican
2000,AL,Alexandria,15781,22306,822,Republican
2000,AL,Aliceville,4143,4306,91,Republican
2000,AL,Allgood,4977,12667,329,Republican
2000,AL,Altoona,17433,21087,828,Republican
2000,AL,Andalusia,4440,8961,212,Republican
2000,AL,Anderson,13875,17478,784,Republican
2000,AL,Anniston,15781,22306,822,Republican
2000,AL,Arab,10381,17084,524,Republican
2000,AL,Ardmore,8992,14204,438,Republican
2000,AL,Argo,129889,138491,5383,Republican
2000,AL,Ariton,4906,10593,307,Republican
2000,AL,Arley,2692,6413,213,Republican
2000,AL,Ashford,9412,22150,495,Republican
2000,AL,Ashland,2045,3719,119,Republican
2000,AL,Ashville,6485,17117,488,Republican
2000,AL,Athens,8992,14204,438,Republican
2000,AL,Atmore,4523,6975,162,Republican
2000,AL,Attalla,17433,21087,828,Republican
2000,AL,Auburn,14574,22433,1257,Republican
2000,AL,Autaugaville,4942,11993,273,Republican
2000,AL,Avon,9412,22150,495,Republican
2000,AL,Axis,58640,78162,2943,Republican
2000,AL,Babbie,4440,8961,212,Republican
2000,AL,Baileyton,9758,19157,610,Republican
2000,AL,Bakerhill,5188,5096,111,Democrat
2000,AL,Ballplay,17433,21087,828,Republican
2000,AL,Banks,4357,6058,129,Republican
2000,AL,Bay Minette,13997,40872,1611,Republican
2000,AL,Bayou La Batre,58640,78162,2943,Republican
2000,AL,Bear Creek,4600,6910,246,Republican
2000,AL,Beatrice,3741,5153,57,Republican
2000,AL,Beaverton,2653,4470,126,Republican
2000,AL,Belgreen,4793,6119,191,Republican
2000,AL,Belk,3064,4582,162,Republican
2000,AL,Bellamy,4415,1629,44,Democrat
2000,AL,Belle Fontaine,58640,78162,2943,Republican
2000,AL,Benton,4557,1638,48,Democrat
2000,AL,Berlin,9758,19157,610,Republican
2000,AL,Berry,3064,4582,162,Republican
2000,AL,Bessemer,129889,138491,5383,Republican
2000,AL,Billingsley,4942,11993,273,Republican
2000,AL,Birmingham,129889,138491,5383,Republican
2000,AL,Black,2769,6588,202,Republican
2000,AL,Blountsville,4977,12667,329,Republican
2000,AL,Blue Ridge,6652,16777,375,Republican
2000,AL,Blue Springs,5188,5096,111,Democrat
2000,AL,Boaz,10381,17084,524,Republican
2000,AL,Boligee,3504,850,42,Democrat
2000,AL,Bon Air,11264,13807,380,Republican
2000,AL,Bon Secour,13997,40872,1611,Republican
2000,AL,Boykin,3444,1661,21,Democrat
2000,AL,Brantley,1934,2793,68,Republican
2000,AL,Brantleyville,13183,47651,1294,Republican
2000,AL,Brent,2710,4273,118,Republican
2000,AL,Brewton,4523,6975,162,Republican
2000,AL,Bridgeport,9066,8475,365,Democrat
2000,AL,Brighton,129889,138491,5383,Republican
2000,AL,Brilliant,4600,6910,246,Republican
2000,AL,Bristow Cove,17433,21087,828,Republican
2000,AL,Brook Highland,13183,47651,1294,Republican
2000,AL,Brookside,129889,138491,5383,Republican
2000,AL,Brookwood,24614,34003,1497,Republican
2000,AL,Broomtown,3497,4154,172,Republican
2000,AL,Brundidge,4357,6058,129,Republican
2000,AL,Bucks,58640,78162,2943,Republican
2000,AL,Butler,3707,3600,67,Democrat
2000,AL,Calera,13183,47651,1294,Republican
2000,AL,Calvert,3386,4117,93,Republican
2000,AL,Camden,3444,1661,21,Democrat
2000,AL,Camp Hill,6183,9805,265,Republican
2000,AL,Carbon Hill,11621,13486,534,Republican
2000,AL,Cardiff,129889,138491,5383,Republican
2000,AL,Carlisle-Rockledge,17433,21087,828,Republican
2000,AL,Carlton,4679,5988,85,Republican
2000,AL,Carolina,4440,8961,212,Republican
2000,AL,Carrollton,4143,4306,91,Republican
2000,AL,Castleberry,2783,2699,69,Democrat
2000,AL,Cedar Bluff,3497,4154,172,Republican
2000,AL,Center Point,129889,138491,5383,Republican
2000,AL,Centre,3497,4154,172,Republican
2000,AL,Centreville,2710,4273,118,Republican
2000,AL,Chatom,3386,4117,93,Republican
2000,AL,Chelsea,13183,47651,1294,Republican
2000,AL,Cherokee,10543,10518,471,Democrat
2000,AL,Chickasaw,58640,78162,2943,Republican
2000,AL,Childersburg,11264,13807,380,Republican
2000,AL,Choccolocco,15781,22306,822,Republican
2000,AL,Chunchula,58640,78162,2943,Republican
2000,AL,Citronelle,58640,78162,2943,Republican
2000,AL,Clanton,4806,10066,220,Republican
2000,AL,Clay,129889,138491,5383,Republican
