state_id,county_name,county_fips,city,population
AK,Aleutians East,2013,Sand Point,1064
AK,Aleutians East,2013,Akutan,1041
AK,Aleutians East,2013,King Cove,1000
AK,Aleutians East,2013,Cold Bay,125
AK,Aleutians East,2013,Nelson Lagoon,86
AK,Aleutians East,2013,False Pass,43
AK,Aleutians West,2016,Unalaska,4432
AK,Aleutians West,2016,St. Paul,481
AK,Aleutians West,2016,Adak,326
AK,Aleutians West,2016,St. George,101
AK,Aleutians West,2016,Atka,81
AK,Aleutians West,2016,Nikolski,21
AK,Aleutians West,2016,Attu Station,17
AK,Anchorage,2020,Anchorage,288000
AK,Bethel,2050,Bethel,6586
AK,Bethel,2050,Kwethluk,762
AK,Bethel,2050,Quinhagak,706
AK,Bethel,2050,Tuntutuliak,675
AK,Bethel,2050,Toksook Bay,673
AK,Bethel,2050,Akiachak,573
AK,Bethel,2050,Aniak,549
AK,Bethel,2050,Kasigluk,543
AK,Bethel,2050,Nunapitchuk,530
AK,Bethel,2050,Kipnuk,511
AK,Bethel,2050,Chefornak,471
AK,Bethel,2050,Kongiganak,433
AK,Bethel,2050,Napaskiak,410
AK,Bethel,2050,Tununak,401
AK,Bethel,2050,Kwigillingok,399
AK,Bethel,2050,Akiak,394
AK,Bethel,2050,Napakiak,370
AK,Bethel,2050,Tuluksak,319
AK,Bethel,2050,Nightmute,317
AK,Bethel,2050,Eek,315
AK,Bethel,2050,Newtok,315
AK,Bethel,2050,Lower Kalskag,314
AK,Bethel,2050,Goodnews Bay,277
AK,Bethel,2050,Upper Kalskag,235
AK,Bethel,2050,Mekoryuk,205
AK,Bethel,2050,Atmautluak,189
AK,Bethel,2050,Chuathbaluk,126
AK,Bethel,2050,Sleetmute,94
AK,Bethel,2050,Oscarville,94
AK,Bethel,2050,Crooked Creek,75
AK,Bethel,2050,Platinum,67
AK,Bethel,2050,Stony River,40
AK,Bethel,2050,Red Devil,20
AK,Bethel,2050,Lime Village,13
AK,Bristol Bay,2060,Naknek,468
AK,Bristol Bay,2060,King Salmon,361
AK,Bristol Bay,2060,South Naknek,46
AK,Denali,2068,Healy,968
AK,Denali,2068,Denali Park,872
AK,Denali,2068,Anderson,340
AK,Denali,2068,Cantwell,178
AK,Denali,2068,Ferry,20
AK,Dillingham,2070,Dillingham,2360
AK,Dillingham,2070,Togiak,841
AK,Dillingham,2070,New Stuyahok,509
AK,Dillingham,2070,Manokotak,440
AK,Dillingham,2070,Aleknagik,220
AK,Dillingham,2070,Koliganek,202
AK,Dillingham,2070,Ekwok,131
AK,Dillingham,2070,Twin Hills,67
AK,Dillingham,2070,Clark's Point,62
AK,Dillingham,2070,Portage Creek,3
AK,Fairbanks North Star,2090,Fairbanks,63245
AK,Fairbanks North Star,2090,Badger,18911
AK,Fairbanks North Star,2090,College,12791
AK,Fairbanks North Star,2090,Steele Creek,7704
AK,Fairbanks North Star,2090,Chena Ridge,6111
AK,Fairbanks North Star,2090,Farmers Loop,5214
AK,Fairbanks North Star,2090,Goldstream,3592
AK,Fairbanks North Star,2090,Eielson AFB,3229
AK,Fairbanks North Star,2090,North Pole,2094
AK,Fairbanks North Star,2090,Ester,1622
AK,Fairbanks North Star,2090,Salcha,1006
AK,Fairbanks North Star,2090,Moose Creek,795
AK,Fairbanks North Star,2090,Two Rivers,663
